bus_id,phase,scenario,v_re_pu,v_im_pu
B1,a,h067,1,0
B1,a,h091,1,0
B1,b,h067,-0.49999999999999978,-0.86602540378443871
B1,b,h091,-0.49999999999999978,-0.86602540378443871
B1,c,h067,-0.50000000000000044,0.86602540378443849
B1,c,h091,-0.50000000000000044,0.86602540378443849
B3,a,h067,0.86585960867103218,-0.50018575821193545
B3,a,h091,0.86590787396833213,-0.50013232278262265
B3,b,h067,-0.86623840216804793,-0.49933487881984445
B3,b,h091,-0.86611091290901765,-0.49973598096197008
B3,c,h067,0.0010988638926155453,0.99976893031114322
B3,c,h091,0.0010872252277861528,0.99977262040847836
B5,a,h067,0.8658606907688069,-0.50018708798669287
B5,a,h091,0.86590863387388561,-0.50013370007607805
B5,b,h067,-0.86623440102108074,-0.49933427101297267
B5,b,h091,-0.86610705979670044,-0.49973547629927739
B5,c,h067,0.0011064916296384397,0.99975963093782527
B5,c,h091,0.0010947036619140538,0.99976337886385314
B6,a,h067,0.86586312059181791,-0.50019069764711166
B6,a,h091,0.865909586681887,-0.50013765663897269
B6,b,h067,-0.86622515345276707,-0.499328783308853
B6,b,h091,-0.86609877178767825,-0.49973024178176828
B6,c,h067,0.0011324539068479633,0.99974512832013329
B6,c,h091,0.0011187734800984783,0.99974964670362498
B16,a,h067,0.8658716538455461,-0.50020065190192575
B16,a,h091,0.86591298184297816,-0.50014977634100144
B16,b,h067,-0.86619456348381507,-0.4993067448261449
B16,b,h091,-0.86607075518953103,-0.49970986145952268
B16,c,h067,0.0012171644084069677,0.99969945178006447
B16,c,h091,0.0011994453778529368,0.99970468174804694
B22,a,h067,0.8658976075386382,-0.50021834873578708
B22,a,h091,0.86592831145466165,-0.50017254573057868
B22,b,h067,-0.8661464951322968,-0.49929775678673161
B22,b,h091,-0.86602859889337247,-0.49970674472959775
B22,c,h067,0.0013470792495025585,0.99962404148686868
B22,c,h091,0.0013198784399995334,0.99963059796766784
B43,a,h067,0.86579288864312065,-0.50008009177619606
B43,a,h091,0.86590787391695034,-0.50013232280334208
B43,b,h067,-0.86619071281501969,-0.49896171888512009
B43,b,h091,-0.86611091291770781,-0.49973598093965516
B43,c,h067,0.0010815453964559962,0.9998901090554817
B43,c,h091,0.0010872252288885997,0.99977262040051307
B56,c,h067,0.014975328986193803,0.9873962306177948
B56,c,h091,0.0091846619933154683,0.99287196983958093
B75,a,h067,0.86582126263924319,-0.50012859100687401
B75,a,h091,0.86590787394745738,-0.50013232279309239
B75,b,h067,-0.86621651573491287,-0.4991273741720757
B75,b,h091,-0.86611091291374209,-0.49973598095317667
B75,c,h067,0.0010886236553310225,0.99983624553672568
B75,c,h091,0.001087225228847577,0.999772620404904
B81,a,h067,0.86580553198315435,-0.50008414641923526
B81,a,h091,0.86590787393283741,-0.50013232280042752
B81,b,h067,-0.86619776374514945,-0.49898004714937627
B81,b,h091,-0.86611091291705122,-0.49973598094701921
B81,c,h067,0.0010844596793653793,0.99988492785636407
B81,c,h091,0.0010872252295914264,0.99977262040240111
B84,a,h067,0.86579744875729292,-0.50008481490148338
B84,a,h091,0.86590787392536706,-0.50013232280400144
B84,b,h067,-0.86619911750244016,-0.49897376194504256
B84,b,h091,-0.86611091291876274,-0.49973598094340377
B84,c,h067,0.0010822596876212715,0.99988641483870955
B84,c,h091,0.0010872252299353781,0.99977262040128456
B85,a,h067,0.86579744715283558,-0.50008481347895928
B85,a,h091,0.86590787392536539,-0.50013232280400055
B85,b,h067,-0.86619911478482092,-0.49897376104986041
B85,b,h091,-0.86611091291876119,-0.49973598094340299
B85,c,h067,0.0010822596876212676,0.99988641483870988
B85,c,h091,0.0010872252299353735,0.99977262040128467
B90,c,h067,0.0067489840823061753,0.99552695194228169
B90,c,h091,0.004863160901755037,0.99694862189303357
B102,c,h067,0.0011906359152417112,0.99963570085817355
B102,c,h091,0.0011864968897746242,0.99962884614640934
B109,c,h067,0.0035202759398745287,0.99912323242655421
B109,c,h091,0.0035193340658844496,0.999111765183617
B153,b,h067,-0.8682564952355698,-0.48864243090127224
B153,b,h091,-0.86831105903219918,-0.48804100748653068
B155,b,h067,-0.86353311010629308,-0.4822547736624675
B155,b,h091,-0.86403377423502437,-0.48225956577684537
B214,a,h067,0.86594288974315514,-0.50024711106207798
B214,a,h091,0.86594269619182285,-0.50020805740198304
B214,b,h067,-0.86606416008856324,-0.49928001649445158
B214,b,h091,-0.86596589836920346,-0.49969178625406008
B214,c,h067,0.0015684499408631369,0.99949651204469636
B214,c,h091,0.0015031391318534038,0.99951898128647287
B224,a,h067,0.86594163725018936,-0.50025579921962138
B224,a,h091,0.86592328566940857,-0.50022018476047125
B224,b,h067,-0.86604984583801969,-0.49927028526689682
