bus_id,phase,scenario,p_pu,q_pu
B80,c,h019,-0.004608,-0.0009356943082014914
B85,a,h019,-0.002304,-0.0004678471541007457
B86,a,h019,-0.002304,-0.0004678471541007457
B91,a,h019,-0.010752000000000001,-0.0021832867191368135
B94,b,h019,-0.004992,-0.001013668833884949
B95,b,h019,-0.005376000000000001,-0.0010916433595684067
B97,c,h019,-0.00192,-0.00038987262841728813
B100,a,h019,-0.003456,-0.0007017707311511186
B13,a,h020,-0.002304,-0.0004678471541007457
B26,c,h020,-0.004608,-0.0009356943082014914
B27,c,h020,-0.002304,-0.0004678471541007457
B29,c,h020,-0.00192,-0.00038987262841728813
B30,c,h020,-0.001152,-0.00023392357705037285
B32,c,h020,-0.001536,-0.00031189810273383046
B40,a,h020,-0.002304,-0.0004678471541007457
B52,c,h020,-0.003456,-0.0007017707311511186
B61,c,h020,-0.000384,-7.797452568345762e-5
B78,c,h020,-0.001152,-0.00023392357705037285
B79,c,h020,-0.000384,-7.797452568345762e-5
B80,c,h020,-0.003072,-0.0006237962054676609
B85,a,h020,-0.0026880000000000003,-0.0005458216797842034
B86,a,h020,-0.002304,-0.0004678471541007457
B91,a,h020,-0.010752000000000001,-0.0021832867191368135
B94,b,h020,-0.006144,-0.0012475924109353219
B95,b,h020,-0.006144,-0.0012475924109353219
B97,c,h020,-0.002304,-0.0004678471541007457
B100,a,h020,-0.003072,-0.0006237962054676609
B13,a,h021,-0.0026880000000000003,-0.0005458216797842034
B26,c,h021,-0.004224,-0.0008577197825180339
B27,c,h021,-0.00192,-0.00038987262841728813
B29,c,h021,-0.001536,-0.00031189810273383046
B30,c,h021,-0.000768,-0.00015594905136691523
B32,c,h021,-0.001536,-0.00031189810273383046
B40,a,h021,-0.0026880000000000003,-0.0005458216797842034
B52,c,h021,-0.00576,-0.0011696178852518642
B61,c,h021,-0.000768,-0.00015594905136691523
B78,c,h021,-0.003072,-0.0006237962054676609
B79,c,h021,-0.001536,-0.00031189810273383046
B80,c,h021,-0.0026880000000000003,-0.0005458216797842034
B85,a,h021,-0.0026880000000000003,-0.0005458216797842034
B86,a,h021,-0.003072,-0.0006237962054676609
B91,a,h021,-0.001152,-0.00023392357705037285
B94,b,h021,-0.005376000000000001,-0.0010916433595684067
B95,b,h021,-0.00576,-0.0011696178852518642
B97,c,h021,-0.00192,-0.00038987262841728813
B100,a,h021,-0.003456,-0.0007017707311511186
B13,a,h022,-0.004992,-0.001013668833884949
B26,c,h022,-0.003072,-0.0006237962054676609
B27,c,h022,-0.00192,-0.00038987262841728813
B29,c,h022,-0.001536,-0.00031189810273383046
B30,c,h022,-0.000768,-0.00015594905136691523
B32,c,h022,-0.00192,-0.00038987262841728813
B40,a,h022,-0.002304,-0.0004678471541007457
B52,c,h022,-0.006528,-0.0013255669366187795
B61,c,h022,-0.000384,-7.797452568345762e-5
B78,c,h022,-0.003456,-0.0007017707311511186
B79,c,h022,-0.000384,-7.797452568345762e-5
B80,c,h022,-0.004224,-0.0008577197825180339
B85,a,h022,-0.0026880000000000003,-0.0005458216797842034
B86,a,h022,-0.00192,-0.00038987262841728813
B91,a,h022,-0.0026880000000000003,-0.0005458216797842034
B94,b,h022,-0.00576,-0.0011696178852518642
B95,b,h022,-0.00576,-0.0011696178852518642
B97,c,h022,-0.002304,-0.0004678471541007457
B100,a,h022,-0.003456,-0.0007017707311511186
B13,a,h023,-0.001152,-0.00023392357705037285
B26,c,h023,-0.0026880000000000003,-0.0005458216797842034
B27,c,h023,-0.002304,-0.0004678471541007457
B29,c,h023,-0.001536,-0.00031189810273383046
B30,c,h023,-0.000768,-0.00015594905136691523
B32,c,h023,-0.001536,-0.00031189810273383046
B40,a,h023,-0.002304,-0.0004678471541007457
B52,c,h023,-0.003456,-0.0007017707311511186
B61,c,h023,-0.000768,-0.00015594905136691523
B78,c,h023,-0.003456,-0.0007017707311511186
B79,c,h023,-0.000768,-0.00015594905136691523
B80,c,h023,-0.0026880000000000003,-0.0005458216797842034
B85,a,h023,-0.001536,-0.00031189810273383046
B86,a,h023,-0.000768,-0.00015594905136691523
B91,a,h023,-0.000768,-0.00015594905136691523
B94,b,h023,-0.004992,-0.001013668833884949
B95,b,h023,-0.00576,-0.0011696178852518642
B97,c,h023,-0.002304,-0.0004678471541007457
B100,a,h023,-0.003456,-0.0007017707311511186
B13,a,h024,-0.001152,-0.00023392357705037285
B26,c,h024,-0.002304,-0.0004678471541007457
B27,c,h024,-0.001536,-0.00031189810273383046
B29,c,h024,-0.001536,-0.00031189810273383046
B30,c,h024,-0.000384,-7.797452568345762e-5
B32,c,h024,-0.001536,-0.00031189810273383046
B40,a,h024,-0.00192,-0.00038987262841728813
B52,c,h024,-0.004224,-0.0008577197825180339
B61,c,h024,-0.001152,-0.00023392357705037285
B78,c,h024,-0.003072,-0.0006237962054676609
B79,c,h024,-0.000384,-7.797452568345762e-5
B80,c,h024,-0.003072,-0.0006237962054676609
B85,a,h024,-0.001152,-0.00023392357705037285
B86,a,h024,-0.000768,-0.00015594905136691523
B91,a,h024,-0.000768,-0.00015594905136691523
B94,b,h024,-0.006144,-0.0012475924109353219
B95,b,h024,-0.005376000000000001,-0.0010916433595684067
B97,c,h024,-0.00192,-0.00038987262841728813
B100,a,h024,-0.003456,-0.0007017707311511186
B13,a,h025,-0.000768,-0.00015594905136691523
B26,c,h025,-0.0026880000000000003,-0.0005458216797842034
B27,c,h025,-0.001152,-0.00023392357705037285
B29,c,h025,-0.001152,-0.00023392357705037285
B30,c,h025,-0.00192,-0.00038987262841728813
B32,c,h025,-0.001536,-0.00031189810273383046
B40,a,h025,-0.001536,-0.00031189810273383046
B52,c,h025,-0.00384,-0.0007797452568345763
B61,c,h025,-0.001536,-0.00031189810273383046
B78,c,h025,-0.003456,-0.0007017707311511186
B79,c,h025,-0.000768,-0.00015594905136691523
B80,c,h025,-0.003072,-0.0006237962054676609
B85,a,h025,-0.001152,-0.00023392357705037285
B86,a,h025,-0.001536,-0.00031189810273383046
B91,a,h025,-0.002304,-0.0004678471541007457
B94,b,h025,-0.007296,-0.0014815159879856949
B95,b,h025,-0.005376000000000001,-0.0010916433595684067
B97,c,h025,-0.002304,-0.0004678471541007457
B100,a,h025,-0.003456,-0.0007017707311511186
B13,a,h026,-0.000768,-0.00015594905136691523
B26,c,h026,-0.0026880000000000003,-0.0005458216797842034
B27,c,h026,-0.001536,-0.00031189810273383046
B29,c,h026,-0.000768,-0.00015594905136691523
B30,c,h026,-0.001536,-0.00031189810273383046
B32,c,h026,-0.00192,-0.00038987262841728813
B40,a,h026,-0.001536,-0.00031189810273383046
B52,c,h026,-0.00384,-0.0007797452568345763
B61,c,h026,-0.001152,-0.00023392357705037285
B73,b,h026,-0.000384,-7.797452568345762e-5
B78,c,h026,-0.003072,-0.0006237962054676609
B79,c,h026,-0.000768,-0.00015594905136691523
B80,c,h026,-0.00192,-0.00038987262841728813
B85,a,h026,-0.001536,-0.00031189810273383046
B86,a,h026,-0.000384,-7.797452568345762e-5
B91,a,h026,-0.000768,-0.00015594905136691523
B94,b,h026,-0.00768,-0.0015594905136691525
B95,b,h026,-0.005376000000000001,-0.0010916433595684067
B97,c,h026,-0.00192,-0.00038987262841728813
B100,a,h026,-0.003456,-0.0007017707311511186
B13,a,h027,-0.001152,-0.00023392357705037285
B26,c,h027,-0.003072,-0.0006237962054676609
B27,c,h027,-0.000768,-0.00015594905136691523
B29,c,h027,-0.001152,-0.00023392357705037285
B30,c,h027,-0.001152,-0.00023392357705037285
B32,c,h027,-0.001536,-0.00031189810273383046
B40,a,h027,-0.001152,-0.00023392357705037285
B52,c,h027,-0.003456,-0.0007017707311511186
B61,c,h027,-0.001536,-0.00031189810273383046
