Time, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "0.416 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "0.416 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "0.416 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "0.416 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "0.416 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
24.0166666666667, 3.04964314702744, 1.00175734181615, 60.8924472951556, 63.9724297866874, 3.04500097550821, 1.00085403799918, 58.8306686967771, 61.9270885727648, 0, 0, 0, 0, 0.00229789480713598, 0.000393840389881209, 2.06196551423249, 0.273893470805978, 0.00229789480713598, 0.000393840389881209, 0, 0, 2.06196551423249, 0, 0.00229789480713598, 0, 0.00219269195254233, 0.000105202854591937, 0.00229789480713598, 0, 0, 0, 0, 0, 0.00229789480713598, 0, 0, 0, 0, 0, 0, 0.00229789480713598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04500097550821, 0, 0, 0, 0, 0, 0
24.0333333333333, 3.0550086528226, 1.00375918424763, 60.8924472951556, 63.9724297866874, 3.05269408869104, 1.00337244751257, 58.8306686967771, 61.9270885727648, 0, 0, 0, 0, 0.00231713389888903, 0.000397152520540169, 2.06196551423249, 0.273893470805978, 0.00231713389888903, 0.000397152520540169, 0, 0, 2.06196551423249, 0, 0.00231713389888903, 0, 0.00220949610004725, 0.000107637798842495, 0.00231713389888903, 0, 0, 0, 0, 0, 0.00231713389888903, 0, 0, 0, 0, 0, 0, 0.00231713389888903, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05269408869104, 0, 0, 0, 0, 0, 0
24.05, 3.23890760028158, 1.06419212074243, 60.8924472951556, 63.9724297866874, 3.23635727496164, 1.06373808000825, 58.8306686967771, 61.9270885727648, 0, 0, 0, 0, 0.00261260600517531, 0.0004467234734002, 2.06196551423249, 0.273893470805978, 0.00261260600517531, 0.0004467234734002, 0, 0, 2.06196551423249, 0, 0.00261260600517531, 0, 0.0024838232045442, 0.000128782800630719, 0.00261260600517531, 0, 0, 0, 0, 0, 0.00261260600517531, 0, 0, 0, 0, 0, 0, 0.00261260600517531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23635727496164, 0, 0, 0, 0, 0, 0
24.0666666666667, 3.65576151506775, 1.20112196617579, 60.8924472951556, 63.9724297866874, 3.65261952215279, 1.20055567557548, 58.8306686967771, 61.9270885727648, 0, 0, 0, 0, 0.00325377535777267, 0.000545063206084626, 2.06196551423249, 0.273893470805978, 0.00325377535777267, 0.000545063206084626, 0, 0, 2.06196551423249, 0, 0.00325377535777267, 0, 0.00304997691437117, 0.000203798443402349, 0.00325377535777267, 0, 0, 0, 0, 0, 0.00325377535777267, 0, 0, 0, 0, 0, 0, 0.00325377535777267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65261952215279, 0, 0, 0, 0, 0, 0
24.0833333333333, 4.0931018040884, 1.3447141545136, 60.8924472951556, 63.9724297866874, 4.08900425837702, 1.34398745513277, 58.8306686967771, 61.9270885727648, 0, 0, 0, 0, 0.00419149918812429, 0.000704885688412564, 2.06196551423249, 0.273893470805978, 0.00419149918812429, 0.000704885688412564, 0, 0, 2.06196551423249, 0, 0.00419149918812429, 0, 0.00392655321229861, 0.000264945975833026, 0.00419149918812429, 0, 0, 0, 0, 0, 0.00419149918812429, 0, 0, 0, 0, 0, 0, 0.00419149918812429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08900425837702, 0, 0, 0, 0, 0, 0
24.1, 4.1998437936828, 1.37968688709699, 60.8924472951556, 63.9724297866874, 4.19544209989137, 1.3789744067447, 58.8306686967771, 61.9270885727648, 0, 0, 0, 0, 0.00438844813310694, 0.000741689973061028, 2.06196551423249, 0.273893470805978, 0.00438844813310694, 0.000741689973061028, 0, 0, 2.06196551423249, 0, 0.00438844813310694, 0, 0.00415460182446009, 0.000233846308644719, 0.00438844813310694, 0, 0, 0, 0, 0, 0.00438844813310694, 0, 0, 0, 0, 0, 0, 0.00438844813310694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19544209989137, 0, 0, 0, 0, 0, 0
24.1166666666667, 4.37605865075179, 1.43760734478094, 60.8924472951556, 63.9724297866874, 4.37139969263611, 1.43680918971211, 58.8306686967771, 61.9270885727648, 0, 0, 0, 0, 0.00470878638149866, 0.000790007232773867, 2.06196551423249, 0.273893470805978, 0.00470878638149866, 0.000790007232773867, 0, 0, 2.06196551423249, 0, 0.00470878638149866, 0, 0.00443456377068347, 0.000274222610816257, 0.00470878638149866, 0, 0, 0, 0, 0, 0.00470878638149866, 0, 0, 0, 0, 0, 0, 0.00470878638149866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37139969263611, 0, 0, 0, 0, 0, 0
24.1333333333333, 4.60214354948975, 1.51182783981315, 60.8924472951556, 63.9724297866874, 4.59689069057793, 1.51092476203854, 58.8306686967771, 61.9270885727648, 0, 0, 0, 0, 0.00534090052161089, 0.000893776309226089, 2.06196551423249, 0.273893470805978, 0.00534090052161089, 0.000893776309226089, 0, 0, 2.06196551423249, 0, 0.00534090052161089, 0, 0.0049786810818614, 0.000362219439748121, 0.00534090052161089, 0, 0, 0, 0, 0, 0.00534090052161089, 0, 0, 0, 0, 0, 0, 0.00534090052161089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59689069057793, 0, 0, 0, 0, 0, 0
24.15, 4.76736983356486, 1.56602669039912, 60.8924472951556, 63.9724297866874, 4.76149285691588, 1.5650257476299, 58.8306686967771, 61.9270885727648, 0, 0, 0, 0, 0.0058947456996994, 0.000976012044370304, 2.06196551423249, 0.273893470805978, 0.0058947456996994, 0.000976012044370304, 0, 0, 2.06196551423249, 0, 0.0058947456996994, 0, 0.00540378659061268, 0.000490959109080298, 0.0058947456996994, 0, 0, 0, 0, 0, 0.0058947456996994, 0, 0, 0, 0, 0, 0, 0.0058947456996994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.76149285691588, 0, 0, 0, 0, 0, 0
24.1666666666667, 7.22667551382356, 2.36965915831595, 60.8924472951556, 63.9724297866874, 7.19701651948587, 2.36555402065895, 58.8306686967771, 61.9270885727648, 0, 0, 0, 0, 0.029701256846357, 0.00410511038516016, 2.06196551423249, 0.273893470805978, 0.029701256846357, 0.00410511038516016, 0, 0, 2.06196551423249, 0, 0.029701256846357, 0, 0.0188391637543656, 0.0108620930919851, 0.029701256846357, 0, 0, 0, 0, 0, 0.029701256846357, 0, 0, 0, 0, 0, 0, 0.029701256846357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19701651948587, 0, 0, 0, 0, 0, 0
